keyword,canonical_keyword,volume,kd,cpc,serp_features,topical_silo,primary_entity,entity_id,entity_type,parent_entity,intent,intent_detail,geo_modifier,comparison_entity_a,comparison_entity_b,cluster_key,cluster_label,recommended_page_type,recommended_action,suggested_url,entity_existing_page,needs_manual_review,current_url,current_position,current_traffic,competitor_url,updated
chicken big mac,mcdonald's big mac,19000,0,0.31,"AI Overview, Thumbnail, Video preview, People also ask, Sitelinks, Top stories",Burgers,Big Mac,burgers-big-mac,product_variant,Burgers Menu,overview,overview_general,,,,burgers-big-mac__overview_general,Big Mac - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,Yes,No,,,,https://www.mac-menus.com/chicken-big-mac/,2026-04-30 21:31:56
mcdonald's menu breakfast,mcdonald's menu,17000,5,0.24,"People also ask, Local pack, Video preview, Top stories, Thumbnail, Bottom ads",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_menu,,,,menu-hub__overview_menu,McDonald's Menu - overview menu,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-05 03:14:15
mccrispy,mccrispy,17000,8,0.45,"AI Overview, Sitelinks, People also ask, Top stories, Thumbnail, Video preview",Chicken & Fish,McCrispy,chicken-mccrispy,product_variant,Chicken & Fish Menu,overview,overview_general,,,,chicken-mccrispy__overview_general,McCrispy - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mccrispy/,Yes,No,,,,https://www.mac-menus.com/mccrispy/,2026-04-30 16:00:40
mcdvoice.com survey,mcdvoice,16000,1,0.03,Sitelinks,Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-05-02 19:49:44
mcdonald menu,mcdonald's menu,15000,67,0.09,"Video preview, People also ask, Top stories, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_menu,,,,menu-hub__overview_menu,McDonald's Menu - overview menu,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-01 01:48:07
mcchicken calories,mcchicken calories,14000,0,0.09,,Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,nutrition,nutrition_macros,,,,chicken-mcchicken__nutrition_macros,McChicken - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/mcchicken/,2026-05-04 06:21:00
mcdonald big mac meal,mcdonald big mac meal,13000,52,0.5,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Value & Deals,Big Mac Meal,evm-big-mac-meal,product_variant,Extra Value Meals,overview,overview_menu,,,,evm-big-mac-meal__overview_menu,Big Mac Meal - overview menu,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,Yes,No,,,,https://www.mac-menus.com/,2026-05-01 03:43:32
mcdonald's menu with prices 2025,mcdonald's menu with prices 2025,13000,63,0.3,"AI Overview, People also ask, Video preview",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-03 14:08:55
mcdonalds menu with prices,mcdonald's menu with prices 2025,13000,69,0.27,"AI Overview, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-04 21:02:48
mcdvoice.com,mcdvoice,11000,1,0.05,"Sitelinks, Video preview",Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-04-29 09:37:42
www.mcdvoice.com,mcdvoice,11000,2,0.01,"Sitelinks, Video preview",Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-04-30 18:42:49
mcdonald's breakfast menu with prices,mcdonald's breakfast menu with prices,10000,0,0.4,,Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,commercial,price_value,,,,breakfast-menu__price_value,Breakfast Menu - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-03 20:51:24
how much is a big mac,how much is a big mac,9400,63,0.49,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Burgers,Big Mac,burgers-big-mac,product_variant,Burgers Menu,commercial,price_value,,,,burgers-big-mac__price_value,Big Mac - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,Yes,No,,,,https://www.mac-menus.com/,2026-05-05 07:02:07
mcdonald's fries,mcdonald's fries,9300,24,0.11,"Top stories, Thumbnail, People also ask, Video preview",Fries & Sides,Fries & Sides,fries-sides,menu_guide,,overview,overview_general,,,,fries-sides__overview_general,Fries & Sides - overview general,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/fries-sides/,Yes,No,,,,https://www.mac-menus.com/world-famous-fries/,2026-05-01 00:32:21
double cheeseburger,double cheeseburger,9100,6,0.22,"AI Overview, People also ask, Video preview, Top stories, Thumbnail",Burgers,Double Cheeseburger,burgers-double-cheeseburger,product_variant,Burgers Menu,overview,overview_general,,,,burgers-double-cheeseburger__overview_general,Double Cheeseburger - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,Yes,No,,,,https://www.mac-menus.com/,2026-05-01 08:40:22
oreo mcflurry,oreo mcflurry,9000,6,0.21,"Sitelinks, People also ask, Video preview, Thumbnail",Sweets & Treats,OREO McFlurry,sweets-oreo-mcflurry,product_variant,Sweets & Treats,overview,overview_general,,,,sweets-oreo-mcflurry__overview_general,OREO McFlurry - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/oreo-mcflurry/,Yes,No,,,,https://www.mac-menus.com/mcflurry-with-oreo-cookies/,2026-05-03 18:27:48
mcdonald's chicken mcnuggets,mcdonald's chicken mcnuggets,9000,0,0.5,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/chicken-mcnuggets/,2026-05-02 16:55:05
big mac price,how much is a big mac,8900,61,0.37,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Burgers,Big Mac,burgers-big-mac,product_variant,Burgers Menu,commercial,price_value,,,,burgers-big-mac__price_value,Big Mac - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,Yes,No,,,,https://www.mac-menus.com/,2026-05-02 02:30:24
mcdonalds sauces,mcdonalds sauces,8700,5,0.2,"AI Overview, People also ask, Top stories, Thumbnail, Video preview, Sitelinks",Sauces & Condiments,Sauces & Condiments,sauces-condiments,menu_guide,,overview,overview_general,,,,sauces-condiments__overview_general,Sauces & Condiments - overview general,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/sauces-condiments/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-dipping-sauces-condiments-menu/,2026-05-03 08:08:10
double quarter pounder with cheese,double quarter pounder with cheese,8200,0,0.65,"People also ask, Video preview, Top stories, Thumbnail",Burgers,Double Quarter Pounder with Cheese,burgers-double-quarter-pounder-with-cheese,product_variant,Burgers Menu,overview,overview_general,,,,burgers-double-quarter-pounder-with-cheese__overview_general,Double Quarter Pounder with Cheese - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-quarter-pounder-with-cheese/,Yes,No,,,,https://www.mac-menus.com/double-quarter-pounder-with-cheese/,2026-05-02 12:24:35
mc chicken,mcchicken,8100,5,0.52,"People also ask, Top stories, Thumbnail, Video preview, Sitelinks",Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,overview,overview_general,,,,chicken-mcchicken__overview_general,McChicken - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/,2026-05-02 13:26:40
mcdonald's chicken nuggets,mcdonald's chicken mcnuggets,7900,0,0.32,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/20-piece-chicken-mcnuggets/,2026-05-02 11:05:33
mcdonald breakfast menu,mcdonald's breakfast menu,7500,15,0.24,"People also ask, Top stories, Thumbnail, Video preview",Breakfast,Breakfast Menu,breakfast-menu,menu_guide,,overview,overview_menu,,,,breakfast-menu__overview_menu,Breakfast Menu - overview menu,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/breakfast-menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-breakfast-menu-breakfast-meals-more-2025/,2026-05-04 22:48:16
mcdonald's double cheeseburger,double cheeseburger,7300,6,0.09,AI Overview,Burgers,Double Cheeseburger,burgers-double-cheeseburger,product_variant,Burgers Menu,overview,overview_general,,,,burgers-double-cheeseburger__overview_general,Double Cheeseburger - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,Yes,No,,,,https://www.mac-menus.com/,2026-05-04 13:54:55
filet-o-fish,filet-o-fish,7200,8,0.8,"People also ask, Sitelinks, Top stories, Video preview, Thumbnail",Chicken & Fish,Filet-O-Fish,chicken-filet-o-fish,product_variant,Chicken & Fish Menu,overview,overview_general,,,,chicken-filet-o-fish__overview_general,Filet-O-Fish - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/filet-o-fish/,Yes,No,,,,https://www.mac-menus.com/filet-o-fish/,2026-05-03 02:48:02
mcdouble vs double cheeseburger,mcdouble vs double cheeseburger,7100,0,0.28,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Burgers,Double Cheeseburger vs McDouble,burgers-double-cheeseburger,comparison,Burgers Menu,comparison,comparison,,McDouble,Double Cheeseburger,comparison__double-cheeseburger-vs-mcdouble,Double Cheeseburger vs McDouble,comparison,Create a comparison page or dedicated comparison section.,,Yes,No,,,,https://www.mac-menus.com/mcdouble-vs-double-cheeseburger/,2026-05-02 22:02:23
how much is a mcchicken,how much is a mcchicken,7000,55,0.5,"AI Overview, People also ask, Video preview",Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,commercial,price_value,,,,chicken-mcchicken__price_value,McChicken - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/,2026-05-02 08:53:06
mcdonald's value meals,mcdonald's value meals,6900,51,0.43,"AI Overview, People also ask, Top stories, Thumbnail, Video preview, Sitelinks",Value & Deals,Extra Value Meals,extra-value-meals,menu_guide,,overview,overview_general,,,,extra-value-meals__overview_general,Extra Value Meals - overview general,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/,Yes,No,,,,https://www.mac-menus.com/,2026-05-04 02:15:36
hot fudge sundae,hot fudge sundae,6500,3,0.29,"People also ask, Top stories, Thumbnail, Video preview",Sweets & Treats,Hot Fudge Sundae,sweets-hot-fudge-sundae,product_variant,Sweets & Treats,overview,overview_general,,,,sweets-hot-fudge-sundae__overview_general,Hot Fudge Sundae - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/sweets-treats/hot-fudge-sundae/,Yes,No,,,,https://www.mac-menus.com/hot-fudge-sundae/,2026-05-05 10:45:48
sausage mcgriddle,sausage mcgriddle,6500,0,0.44,"Thumbnail, People also ask, Top stories, Video preview",Breakfast,Sausage McGriddles,bfast-sausage-mcgriddles,product_variant,Breakfast Menu,overview,overview_general,,,,bfast-sausage-mcgriddles__overview_general,Sausage McGriddles - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/sausage-mcgriddles/,Yes,No,,,,https://www.mac-menus.com/sausage-mcgriddles/,2026-04-27 15:48:12
mcdvoice.com survey with receipt,mcdvoice,6200,2,0.04,"Sitelinks, People also ask",Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-05-02 12:14:55
mcdouble calories,mcdouble calories,6000,1,0.28,"AI Overview, People also ask, Video preview",Burgers,McDouble,burgers-mcdouble,product_variant,Burgers Menu,nutrition,nutrition_macros,,,,burgers-mcdouble__nutrition_macros,McDouble - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/mcdouble/,Yes,No,,,,https://www.mac-menus.com/mcdouble/,2026-05-04 19:34:28
mcchicken price,how much is a mcchicken,6000,0,0.4,,Chicken & Fish,McChicken,chicken-mcchicken,product_variant,Chicken & Fish Menu,commercial,price_value,,,,chicken-mcchicken__price_value,McChicken - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/chicken-fish/mcchicken/,Yes,No,,,,https://www.mac-menus.com/,2026-05-05 07:30:28
sausage egg mcmuffin,sausage egg mcmuffin,5900,33,0.05,"Top stories, Thumbnail, People also ask, Video preview",Breakfast,Egg McMuffin,bfast-egg-mcmuffin,product_variant,Breakfast Menu,overview,overview_general,,,,bfast-egg-mcmuffin__overview_general,Egg McMuffin - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/egg-mcmuffin/,Yes,No,,,,https://www.mac-menus.com/sausage-mcmuffin-with-egg/,2026-05-02 15:11:29
chicken mcnuggets,mcdonald's chicken mcnuggets,5900,0,0.23,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/chicken-mcnuggets/,2026-05-01 21:13:14
big mac meal price,big mac meal price,5700,69,0.38,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Value & Deals,Big Mac Meal,evm-big-mac-meal,product_variant,Extra Value Meals,commercial,price_value,,,,evm-big-mac-meal__price_value,Big Mac Meal - price value,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/extra-value-meals/big-mac-meal/,Yes,No,,,,https://www.mac-menus.com/,2026-05-04 15:49:57
mcdonald french fries,mcdonald french fries,5400,2,0.11,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Fries & Sides,World Famous Fries Small,sides-world-famous-fries-small,product_variant,World Famous Fries,overview,overview_general,,,,sides-world-famous-fries-small__overview_general,World Famous Fries Small - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/fries-sides/world-famous-fries-small/,Yes,No,,,,https://www.mac-menus.com/world-famous-fries/,2026-05-03 14:44:38
mcdonald's prices,mcdonald's menu with prices 2025,5100,62,0.27,"AI Overview, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-04 21:41:03
mcdvoice survey,mcdvoice,4900,2,0.04,Sitelinks,Customer Journey,McDVoice Survey,mcdvoice,service_page,,service_task,service_survey,,,,mcdvoice__service_survey,McDVoice Survey - service survey,service,Create a new support page and interlink it from the main menu hub.,https://mcdomenuusa.com/mcdvoice/,No,No,,,,https://www.mac-menus.com/mcdvoice/,2026-04-28 22:09:59
$5 meal deal mcdonald's,mcdonalds $5 meal deal,4800,10,0.18,"AI Overview, People also ask, Top stories, Thumbnail, Bottom ads, Video preview",Value & Deals,Extra Value Meals,extra-value-meals,menu_guide,,commercial,price_value,,,,extra-value-meals__price_value,Extra Value Meals - price value,guide,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/extra-value-meals/,Yes,No,,,,https://www.mac-menus.com/the-mcdouble-5-meal-deal/,2026-05-01 16:38:27
mcdonald's menu prices,mcdonald's menu with prices 2025,4800,60,0.26,"AI Overview, Thumbnail",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-05-03 21:36:41
mcdonald's double cheeseburger calories,mcdonald's double cheeseburger calories,4700,0,2.15,"Knowledge card, People also ask, Sitelinks, Video preview",Burgers,Double Cheeseburger,burgers-double-cheeseburger,product_variant,Burgers Menu,nutrition,nutrition_macros,,,,burgers-double-cheeseburger__nutrition_macros,Double Cheeseburger - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/double-cheeseburger/,Yes,No,,,,https://www.mac-menus.com/double-cheeseburger/,2026-05-04 17:05:39
mcdonalds chicken nuggets,mcdonald's chicken mcnuggets,4600,0,0.5,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/chicken-mcnuggets/,2026-05-04 13:54:33
chicken nuggets mcdonalds,mcdonald's chicken mcnuggets,4600,0,0.32,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/20-piece-chicken-mcnuggets/,2026-05-02 11:37:18
bigmac,mcdonald's big mac,4500,41,0.06,"People also ask, Top stories, Thumbnail, Video preview",Burgers,Big Mac,burgers-big-mac,product_variant,Burgers Menu,overview,overview_general,,,,burgers-big-mac__overview_general,Big Mac - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/big-mac/,Yes,No,,,,https://www.mac-menus.com/big-mac-combo-meal/,2026-05-05 07:02:43
quarter pounder calories,quarter pounder calories,4500,0,0.14,"AI Overview, Thumbnail",Burgers,Quarter Pounder with Cheese,burgers-quarter-pounder-with-cheese,product_variant,Burgers Menu,nutrition,nutrition_macros,,,,burgers-quarter-pounder-with-cheese__nutrition_macros,Quarter Pounder with Cheese - nutrition macros,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/burgers-menu/quarter-pounder-with-cheese/,Yes,No,,,,https://www.mac-menus.com/quarter-pounder-with-cheese/,2026-05-01 22:59:18
mcdonald's menu specials,mcdonald's menu,4500,53,0.41,"AI Overview, People also ask, Top stories, Thumbnail, Video preview",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_menu,,,,menu-hub__overview_menu,McDonald's Menu - overview menu,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/mcdonalds-shareables-bundles/,2026-05-02 17:56:37
mcnuggets,mcdonald's chicken mcnuggets,4400,0,0.47,,Value & Deals,Chicken McNuggets,mcvalue-chicken-mcnuggets,product_family,McValue Menu,overview,overview_general,,,,mcvalue-chicken-mcnuggets__overview_general,Chicken McNuggets - overview general,family_section,Expand the parent category guide with a dedicated family section or create a focused family guide.,https://mcdomenuusa.com/mcdonalds-deals-mcvalue-guide/,Yes,No,,,,https://www.mac-menus.com/chicken-mcnuggets/,2026-05-04 06:48:33
mcdonald's food,mcdonald's food,4400,76,0.35,"AI Overview, Top stories, Thumbnail, People also ask, Video preview",Brand Core,McDonald's Menu,menu-hub,menu_hub,,overview,overview_general,,,,menu-hub__overview_general,McDonald's Menu - overview general,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,Yes,,,,https://www.mac-menus.com/,2026-05-01 04:37:25
mcdonald's hash brown,mcdonald's hash brown,4300,1,0.27,"People also ask, Top stories, Thumbnail, Video preview",Breakfast,Hash Browns,bfast-hash-browns,product_variant,Breakfast Menu,overview,overview_general,,,,bfast-hash-browns__overview_general,Hash Browns - overview general,item,Optimize the existing item page and strengthen price/nutrition sections.,https://mcdomenuusa.com/menu/breakfast-menu/hash-browns/,Yes,No,,,,https://www.mac-menus.com/,2026-05-02 01:16:07
mcdonalds prices,mcdonald's menu with prices 2025,4300,65,0.2,"People also ask, AI Overview, Top stories, Thumbnail, Video preview",Brand Core,McDonald's Menu,menu-hub,menu_hub,,commercial,price_value,,,,menu-hub__price_value,McDonald's Menu - price value,hub,Optimize the existing guide page and strengthen entity coverage.,https://mcdomenuusa.com/menu/,Yes,No,,,,https://www.mac-menus.com/,2026-04-29 11:40:37
